,url,address,location.lat,location.lng
1,https://www.airbnb.com/rooms/15677909,Belo Horizonte,-19.99636,-44.04467
2,https://www.airbnb.com/rooms/1011116016079460730,Belo Horizonte,-19.98734,-44.03149
3,https://www.airbnb.com/rooms/1048772607162009300,Belo Horizonte,-19.994,-44.014
4,https://www.airbnb.com/rooms/6687784,Belo Horizonte,-19.89753,-44.01633
5,https://www.airbnb.com/rooms/1150086536583269687,Belo Horizonte,-20.059,-43.989
6,https://www.airbnb.com/rooms/1085731432923449528,Belo Horizonte,-20.0554,-43.98328
7,https://www.airbnb.com/rooms/825640321009966341,Belo Horizonte,-20.00058,-43.97209
8,https://www.airbnb.com/rooms/820977218643665725,Belo Horizonte,-20.00064,-43.9723
9,https://www.airbnb.com/rooms/1136518508115343403,Belo Horizonte,-20.013,-44.012
10,https://www.airbnb.com/rooms/906427794641339249,Belo Horizonte,-19.998,-44.02
11,https://www.airbnb.com/rooms/910220951523307628,Belo Horizonte,-19.99899,-44.02107
12,https://www.airbnb.com/rooms/562066526358628124,Belo Horizonte,-20.01025,-44.02337
13,https://www.airbnb.com/rooms/836905206106125800,Belo Horizonte,-20.00059,-43.97313
14,https://www.airbnb.com/rooms/37280161,Belo Horizonte,-20.01371,-44.01575
15,https://www.airbnb.com/rooms/1117383770709754386,Belo Horizonte,-19.87799,-44.01335
16,https://www.airbnb.com/rooms/876547458561269566,Belo Horizonte,-19.857,-44.01
17,https://www.airbnb.com/rooms/14178113,Belo Horizonte,-19.83376,-44.01463
18,https://www.airbnb.com/rooms/50725885,Belo Horizonte,-19.86097,-44.00921
19,https://www.airbnb.com/rooms/993418205864569663,Belo Horizonte,-19.99848,-43.99425
20,https://www.airbnb.com/rooms/1086201037836456245,Belo Horizonte,-19.92656,-44.00118
21,https://www.airbnb.com/rooms/1080636109317462333,Belo Horizonte,-19.928,-44.002
22,https://www.airbnb.com/rooms/52260621,Belo Horizonte,-19.932,-44
